time,voltage
0,44.889
5.68e-06,49.654
1.136e-05,54.419
1.704e-05,49.317
2.272e-05,49.149
2.84e-05,44.047
3.408e-05,43.879
3.976e-05,43.71
4.544e-05,48.475
5.112e-05,43.373
5.68e-05,48.138
6.248e-05,47.969
6.816e-05,42.867
7.384e-05,37.766
7.952e-05,42.531
8.52e-05,47.296
9.088e-05,37.261
9.656e-05,27.226
0.00010224,27.058
0.00010792,31.824
0.0001136,31.656
0.00011928,26.555
0.00012496,31.321
0.00013064,26.221
0.00013632,30.987
0.000142,30.821
0.00014768,15.854
0.00015336,25.555
0.00015904,25.389
0.00016472,25.223
0.0001704,29.992
0.00017608,19.96
0.00018176,29.662
0.00018744,19.631
0.00019312,19.467
0.0001988,19.304
0.00020448,24.074
0.00021016,18.978
0.00021584,18.815
0.00022152,13.72
0.0002272,13.559
0.00023288,8.4641
0.00023856,18.17
0.00024424,18.01
0.00024992,12.917
0.0002556,7.8249
0.00026128,17.533
0.00026696,7.5083
0.00027264,2.4175
0.00027832,2.2606
0.000284,7.0376
0.00028968,6.8819
0.00029536,1.7934
0.00030104,1.6389
0.00030672,-3.4483
0.0003124,1.3318
0.00031808,1.1792
0.00032376,-3.9061
0.00032944,0.87603
0.00033512,-4.2079
0.0003408,5.509
0.00034648,-4.5068
0.00035216,-4.6552
0.00035784,-9.7362
0.00036352,-4.9498
0.0003692,-5.0959
0.00037488,-10.175
0.00038056,-10.319
0.00038624,-10.463
0.00039192,-10.606
0.0003976,-10.748
0.00040328,-15.823
0.00040896,-11.03
0.00041464,-11.169
0.00042032,-11.308
0.000426,-16.379
0.00043168,-11.583
0.00043736,-16.652
0.00044304,-21.721
0.00044872,-21.855
0.0004544,-17.055
0.00046008,-22.12
0.00046576,-17.318
0.00047144,-17.449
0.00047712,-22.512
0.0004828,-22.64
0.00048848,-22.767
0.00049416,-27.827
0.00049984,-23.019
0.00050552,-18.21
0.0005112,-33.134
0.00051688,-28.322
0.00052256,-23.51
0.00052824,-18.697
0.00053392,-23.75
0.0005396,-28.801
0.00054528,-23.984
0.00055096,-29.034
0.00055664,-29.148
0.00056232,-29.262
0.000568,-34.308
0.00057368,-29.485
0.00057936,-29.596
0.00058504,-34.638
0.00059072,-34.746
0.0005964,-44.719
0.00060208,-39.891
0.00060776,-39.996
0.00061344,-35.165
0.00061912,-40.201
0.0006248,-45.235
0.00063048,-45.334
0.00063616,-40.499
0.00064184,-40.596
0.00064752,-40.692
0.0006532,-40.786
0.00065888,-50.746
0.00066456,-40.972
0.00067024,-45.996
0.00067592,-41.152
0.0006816,-41.24
0.00068728,-51.194
0.00069296,-46.346
0.00069864,-51.364
0.00070432,-46.514
0.00071,-46.595
0.00071568,-51.609
0.00072136,-51.688
0.00072704,-51.766
0.00073272,-51.843
0.0007384,-42.051
0.00074408,-51.992
0.00074976,-52.064
0.00075544,-52.136
0.00076112,-52.205
0.0007668,-52.274
0.00077248,-62.208
0.00077816,-52.407
0.00078384,-52.471
0.00078952,-52.534
0.0007952,-57.53
0.00080088,-67.457
0.00080656,-62.582
0.00081224,-72.506
0.00081792,-67.629
0.0008236,-52.884
0.00082928,-67.738
0.00083496,-57.923
0.00084064,-57.974
0.00084632,-62.956
0.000852,-72.871
0.00085768,-63.051
0.00086336,-72.962
0.00086904,-82.873
0.00087472,-68.115
0.0008804,-68.156
0.00088608,-68.196
0.00089176,-78.1
0.00089744,-83.07
0.00090312,-73.239
0.0009088,-83.14
0.00091448,-83.172
0.00092016,-83.203
0.00092584,-78.3
0.00093152,-83.261
0.0009372,-83.288
0.00094288,-83.314
0.00094856,-83.338
0.00095424,-83.36
0.00095992,-88.315
0.0009656,-93.268
0.00097128,-88.354
0.00097696,-88.371
0.00098264,-93.32
0.00098832,-98.267
0.000994,-98.28
0.00099968,-103.23
0.0010054,-88.435
0.001011,-93.377
0.0010167,-98.318
0.0010224,-93.391
0.0010281,-93.395
0.0010338,-103.27
0.0010394,-98.334
0.0010451,-93.401
0.0010508,-103.27
0.0010565,-98.331
0.0010622,-98.327
0.0010678,-98.322
0.0010735,-98.316
0.0010792,-103.24
0.0010849,-108.17
0.0010906,-113.09
0.0010962,-108.14
0.0011019,-108.13
0.0011076,-113.05
0.0011133,-113.03
0.001119,-103.15
0.0011246,-113
0.0011303,-103.11
0.001136,-108.02
0.0011417,-112.94
0.0011474,-107.98
0.001153,-107.95
0.0011587,-112.86
0.0011644,-112.83
0.0011701,-107.87
0.0011758,-107.84
0.0011814,-112.74
0.0011871,-112.71
0.0011928,-107.74
0.0011985,-122.51
0.0012042,-112.61
0.0012098,-107.63
0.0012155,-117.46
0.0012212,-127.29
0.0012269,-117.38
0.0012326,-112.41
0.0012382,-112.36
0.0012439,-117.25
0.0012496,-117.2
0.0012553,-117.16
0.001261,-117.11
0.0012666,-117.06
0.0012723,-117.01
0.001278,-112.02
0.0012837,-126.77
0.0012894,-111.92
0.001295,-116.79
0.0013007,-121.67
0.0013064,-121.61
0.0013121,-121.56
0.0013178,-121.5
0.0013234,-116.5
0.0013291,-131.24
0.0013348,-121.31
0.0013405,-126.18
0.0013462,-121.18
0.0013518,-121.12
0.0013575,-130.92
0.0013632,-125.91
0.0013689,-125.84
0.0013746,-120.84
0.0013802,-125.7
0.0013859,-130.56
0.0013916,-130.49
0.0013973,-120.55
0.001403,-130.34
0.0014086,-135.2
0.0014143,-140.06
0.00142,-139.98
0.0014257,-134.97
0.0014314,-139.82
0.001437,-139.74
0.0014427,-129.79
0.0014484,-129.71
0.0014541,-144.43
0.0014598,-139.41
0.0014654,-139.33
0.0014711,-144.17
0.0014768,-134.22
0.0014825,-134.13
0.0014882,-134.04
